"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 05:54:41 CEST 2024","Mon Jul 15 05:54:48 CEST 2024","6814","chromium","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Mon Jul 15 05:55:10 CEST 2024","Mon Jul 15 05:55:17 CEST 2024","7303","webkit","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
"passed","Mon Jul 15 05:54:47 CEST 2024","Mon Jul 15 05:54:52 CEST 2024","4991","chromium","registerForm.spec.js","User","","","should properly handle ""Hide my email?"" checkbox",""
"passed","Mon Jul 15 05:55:01 CEST 2024","Mon Jul 15 05:55:08 CEST 2024","6818","firefox","registerForm.spec.js","User","","","should properly select drop-down options",""
"passed","Mon Jul 15 05:55:06 CEST 2024","Mon Jul 15 05:55:18 CEST 2024","11266","webkit","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
"passed","Mon Jul 15 05:55:14 CEST 2024","Mon Jul 15 05:55:21 CEST 2024","6615","webkit","registerForm.spec.js","User","","","should properly handle ""Hide my email?"" checkbox",""
"passed","Mon Jul 15 05:54:49 CEST 2024","Mon Jul 15 05:54:54 CEST 2024","5087","chromium","registerForm.spec.js","User","","","should properly select drop-down options",""
"passed","Mon Jul 15 05:55:06 CEST 2024","Mon Jul 15 05:55:14 CEST 2024","7646","webkit","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Mon Jul 15 05:54:50 CEST 2024","Mon Jul 15 05:54:59 CEST 2024","9004","firefox","registerForm.spec.js","User","","","should successfully submit the form with all required fields filled",""
"passed","Mon Jul 15 05:55:17 CEST 2024","Mon Jul 15 05:55:23 CEST 2024","6266","webkit","registerForm.spec.js","User","","","should properly select drop-down options",""
"passed","Mon Jul 15 05:54:41 CEST 2024","Mon Jul 15 05:54:48 CEST 2024","7367","chromium","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
"passed","Mon Jul 15 05:55:01 CEST 2024","Mon Jul 15 05:55:08 CEST 2024","6656","firefox","registerForm.spec.js","User","","","should properly handle ""Hide my email?"" checkbox",""
"passed","Mon Jul 15 05:55:11 CEST 2024","Mon Jul 15 05:55:16 CEST 2024","5525","webkit","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Mon Jul 15 05:54:50 CEST 2024","Mon Jul 15 05:54:59 CEST 2024","8831","firefox","registerForm.spec.js","User","","","should successfully submit the form with optional fields filled",""
"passed","Mon Jul 15 05:54:41 CEST 2024","Mon Jul 15 05:54:46 CEST 2024","5004","chromium","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Mon Jul 15 05:54:41 CEST 2024","Mon Jul 15 05:54:48 CEST 2024","7345","chromium","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
"passed","Mon Jul 15 05:54:55 CEST 2024","Mon Jul 15 05:55:01 CEST 2024","6443","firefox","registerForm.spec.js","User","","","should show error messages when required fields are missing",""
"passed","Mon Jul 15 05:54:53 CEST 2024","Mon Jul 15 05:55:02 CEST 2024","9308","firefox","registerForm.spec.js","User","","","should successfully submit the form with optional fields left blank",""
