"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6375","should successfully submit the form with optional fields left blank","chromium","Sun Aug 11 22:20:49 UTC 2024","passed","Sun Aug 11 22:20:56 UTC 2024","User","registerForm.spec.js","",""
"","6449","should successfully submit the form with optional fields filled","webkit","Sun Aug 11 22:21:51 UTC 2024","passed","Sun Aug 11 22:21:57 UTC 2024","User","registerForm.spec.js","",""
"","5447","should successfully submit the form with optional fields left blank","firefox","Sun Aug 11 22:21:22 UTC 2024","passed","Sun Aug 11 22:21:28 UTC 2024","User","registerForm.spec.js","",""
"","6024","should successfully register with the checkbox ""Hide my email address"" checked","webkit","Sun Aug 11 22:22:08 UTC 2024","passed","Sun Aug 11 22:22:14 UTC 2024","User","registerForm.spec.js","",""
"","6177","should successfully submit the form with optional fields left blank","webkit","Sun Aug 11 22:21:57 UTC 2024","passed","Sun Aug 11 22:22:03 UTC 2024","User","registerForm.spec.js","",""
"","5219","should successfully register with the checkbox ""Hide my email address"" checked","chromium","Sun Aug 11 22:20:59 UTC 2024","passed","Sun Aug 11 22:21:04 UTC 2024","User","registerForm.spec.js","",""
"","6954","should successfully submit the form with all required fields filled","webkit","Sun Aug 11 22:21:43 UTC 2024","passed","Sun Aug 11 22:21:50 UTC 2024","User","registerForm.spec.js","",""
"","5195","should successfully submit the form with optional fields filled","chromium","Sun Aug 11 22:20:44 UTC 2024","passed","Sun Aug 11 22:20:49 UTC 2024","User","registerForm.spec.js","",""
"","6153","should successfully submit the form with all required fields filled","firefox","Sun Aug 11 22:21:10 UTC 2024","passed","Sun Aug 11 22:21:16 UTC 2024","User","registerForm.spec.js","",""
"","5540","should successfully register with a randomly selected language in the ""Language"" dropdown list","chromium","Sun Aug 11 22:21:04 UTC 2024","passed","Sun Aug 11 22:21:10 UTC 2024","User","registerForm.spec.js","",""
"","3197","should show error messages when required fields are missing","chromium","Sun Aug 11 22:20:56 UTC 2024","passed","Sun Aug 11 22:20:59 UTC 2024","User","registerForm.spec.js","",""
"","3450","should show error messages when required fields are missing","firefox","Sun Aug 11 22:21:28 UTC 2024","passed","Sun Aug 11 22:21:31 UTC 2024","User","registerForm.spec.js","",""
"","6075","should successfully register with a randomly selected language in the ""Language"" dropdown list","webkit","Sun Aug 11 22:22:14 UTC 2024","passed","Sun Aug 11 22:22:20 UTC 2024","User","registerForm.spec.js","",""
"","5215","should successfully register with a randomly selected language in the ""Language"" dropdown list","firefox","Sun Aug 11 22:21:37 UTC 2024","passed","Sun Aug 11 22:21:42 UTC 2024","User","registerForm.spec.js","",""
"","5815","should successfully register with the checkbox ""Hide my email address"" checked","firefox","Sun Aug 11 22:21:31 UTC 2024","passed","Sun Aug 11 22:21:37 UTC 2024","User","registerForm.spec.js","",""
"","5472","should successfully submit the form with all required fields filled","chromium","Sun Aug 11 22:20:38 UTC 2024","passed","Sun Aug 11 22:20:44 UTC 2024","User","registerForm.spec.js","",""
"","4159","should show error messages when required fields are missing","webkit","Sun Aug 11 22:22:03 UTC 2024","passed","Sun Aug 11 22:22:08 UTC 2024","User","registerForm.spec.js","",""
"","5668","should successfully submit the form with optional fields filled","firefox","Sun Aug 11 22:21:17 UTC 2024","passed","Sun Aug 11 22:21:22 UTC 2024","User","registerForm.spec.js","",""
